"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Sugars and sugar confectionery",417,"Raw Sugar",41701,"Foodstuffs",4,12301388,2019
"Sugars and sugar confectionery",417,"Other Sugars",41702,"Foodstuffs",4,41750974,2019
"Sugars and sugar confectionery",417,"Molasses",41703,"Foodstuffs",4,1357625,2019
"Sugars and sugar confectionery",417,"Confectionery Sugar",41704,"Foodstuffs",4,52011154,2019
"Cocoa and cocoa preparations",418,"Cocoa Beans",41801,"Foodstuffs",4,16006,2019
"Cocoa and cocoa preparations",418,"Cocoa Shells",41802,"Foodstuffs",4,37296,2019
"Cocoa and cocoa preparations",418,"Cocoa Paste",41803,"Foodstuffs",4,357296,2019
"Cocoa and cocoa preparations",418,"Cocoa Butter",41804,"Foodstuffs",4,12747.999999999998,2019
"Cocoa and cocoa preparations",418,"Cocoa Powder",41805,"Foodstuffs",4,317768,2019
"Cocoa and cocoa preparations",418,"Chocolate",41806,"Foodstuffs",4,53949587,2019
"Preparations of cereals, flour, starch or milk; pastrycooks' products",419,"Malt Extract",41901,"Foodstuffs",4,1337714621,2019
"Preparations of cereals, flour, starch or milk; pastrycooks' products",419,"Pasta",41902,"Foodstuffs",4,16577835,2019
"Preparations of cereals, flour, starch or milk; pastrycooks' products",419,"Tapioca",41903,"Foodstuffs",4,22765,2019
"Preparations of cereals, flour, starch or milk; pastrycooks' products",419,"Prepared Cereals",41904,"Foodstuffs",4,25159777,2019
"Preparations of cereals, flour, starch or milk; pastrycooks' products",419,"Baked Goods",41905,"Foodstuffs",4,112173838,2019
"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Pickled Foods",42001,"Foodstuffs",4,687912,2019
"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Processed Tomatoes",42002,"Foodstuffs",4,2414640,2019
"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Processed Mushrooms",42003,"Foodstuffs",4,94663,2019
"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Other Frozen Vegetables",42004,"Foodstuffs",4,71030818,2019
"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Other Processed Vegetables",42005,"Foodstuffs",4,49115424,2019
"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Sugar Preserved Foods",42006,"Foodstuffs",4,185181,2019
"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Jams",42007,"Foodstuffs",4,25714212,2019
