"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Trade Value"
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",2071333,"Kidney beans and white pea beans dried shelled",34404865
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",2071339,"Beans dried, shelled, nes",1592792
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",2071340,"Lentils dried, shelled",716347
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",2071350,"Broad beans and horse beans dried, shelled",32
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",2071390,"Leguminous vegetables dried, shelled",6906.000000000001
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",2071410,"Manioc (cassava), fresh or dried",106860
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",2071420,"Sweet potatoes, fresh or dried",415068.00000000006
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",2080110,"Coconuts, fresh or dried",699863
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",2080120,"Brazil nuts, fresh or dried",8386.000000000002
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",2080130,"Cashew nuts, fresh or dried",1397985
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",2080211,"Almonds in shell fresh or dried",403184
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",2080212,"Almonds,fresh or dried, shelled",4784334
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",2080221,"Hazelnuts and filberts in shell fresh or dried",1604
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",2080222,"Hazelnuts and filberts, fresh or dried, shelled",59297.99999999999
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",2080231,"Walnuts in shell, fresh or dried",304189
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",2080232,"Walnuts, fresh or dried, shelled",827435
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",2080250,"Pistachios, fresh or dried",173961
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",2080290,"Nuts edible, fresh or dried, nes",1249499
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,"Bananas",2080300,"Bananas, including plantains, fresh or dried",6012958
